Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2018-01-02,236.56216430664062,236.5973784613616,235.35634139761444,235.74361651795525,86655700
2018-01-03,238.05850219726562,238.20814223785126,236.72944292457163,236.72944292457163,90070400
2018-01-04,239.06185913085938,239.54596651632667,238.12010198488656,238.70101473112751,80636400
2018-01-05,240.65492248535156,240.77813171842422,239.36107780519546,239.85396845853816,83524000
2018-01-08,241.09507751464844,241.25350094481885,240.26771934304634,240.55816229835875,57319200
2018-01-09,241.6407470703125,242.26565732120056,241.23585142785015,241.517510954642,57254000
2018-01-10,241.27108764648438,241.53515354969787,240.2149046152303,240.88381247686453,69574300
2018-01-11,243.03143310546875,243.03143310546872,241.65837628593212,241.8256099757955,62361500
2018-01-12,244.61575317382812,244.7829600066717,242.99622405262795,243.2955041380164,90816100
2018-01-16,243.7795867919922,246.52570051228253,243.08424810623418,245.874386244416,106555100
2018-01-17,246.10311889648438,246.4903939539756,243.7794954120626,244.7124689067845,113258800
2018-01-18,245.68948364257812,246.4111991532553,245.19656610428356,245.98873677832768,100728000
2018-01-19,246.80731201171875,246.80731201171878,245.68951103937377,246.27039686967373,140920100
2018-01-22,248.81410217285156,248.81410217285156,246.54325909295474,246.59609375901607,91322400
2018-01-23,249.34225463867188,249.63269762447223,248.5324900319093,248.85814718162203,97084700
2018-01-24,249.24537658691406,250.5832459642879,248.06595748775115,249.9847127299476,134816100
2018-01-25,249.3509979248047,250.20475995372283,248.55885395768738,250.10795459420666,84587300
2018-01-26,252.2379150390625,252.2819394474555,249.93188483201155,250.18714044699553,107743100
2018-01-29,250.56561279296875,252.10590306158304,250.40718938329576,251.66582012769325,90118300
2018-01-30,247.99557495117188,250.6184523790427,247.52027780134623,248.73491115060395,131796400
2018-01-31,248.11875915527344,249.35098602984448,247.04495569446198,248.84931188627255,108364800
2018-02-01,247.83714294433594,249.1397983597401,247.04499887654444,247.38827652689116,90102500
2018-02-02,242.44168090820312,246.64887236739563,242.40646675517465,246.51682600867105,173174800
2018-02-05,232.30221557617188,242.79380655030562,231.75651693120585,240.68141343472863,294681800
2018-02-06,236.87901306152344,237.38071398653761,227.6988907174772,228.79028765425716,355026800
2018-02-07,235.5940399169922,239.7219936555616,235.51480134144427,236.32456586247582,167376100
2018-02-08,226.7571563720703,236.03411293957473,226.72194221337324,235.89328316531945,246449500
2018-02-09,230.16334533691406,232.02048219017414,222.61152153411334,229.54721856312062,283565300
2018-02-12,233.54318237304688,235.0130710287403,230.30417878341456,232.21412346392802,143736000
2018-02-13,234.1240692138672,234.66976763389977,231.75642140267445,232.3373339706034,81223600
2018-02-14,237.28387451171875,237.64474568212884,232.62779030685115,232.63660055946704,120735700
2018-02-15,240.31167602539062,240.3204862790797,236.56216098587512,239.0266414316785,111200300
2018-02-16,240.38206481933594,242.32725054515024,239.64272878267326,239.68675318827144,160420100
2018-02-20,238.87701416015625,240.87500789598906,238.08487024125643,239.43152296154543,86369700
2018-02-21,237.68873596191406,241.7991215895347,237.59193062820205,239.3170478750535,98883700
2018-02-22,237.99684143066406,240.32927557049345,237.32793364711858,238.61296827236853,110511300
2018-02-23,241.7903594970703,241.7903594970703,238.7449930968572,239.22029018931661,92766400
2018-02-26,244.59811401367188,244.6949462363937,242.27448985528216,242.86418600441795,86491400
2018-02-27,241.54391479492188,245.4958778415357,241.4822967371023,244.7829187706097,99099200
2018-02-28,239.0969696044922,243.09292877790918,238.78012289514385,242.64403574581104,121907800
2018-03-01,235.62039184570312,240.4348997734121,234.12409926408978,238.8857993934386,176855100
2018-03-02,236.8350067138672,237.39832573097647,233.08551859078392,233.94806390250494,139083200
2018-03-05,239.5723876953125,240.18851464468656,235.54121233965114,235.646854823385,97307400
2018-03-06,240.17971801757812,240.62861130218002,238.68342497592946,240.5493727197497,79213200
2018-03-07,240.09161376953125,240.4436746997118,237.82079793841837,238.01443547909676,87063500
2018-03-08,241.25340270996094,241.37661192974645,239.77473090939566,240.76929550084944,66901200
2018-03-09,245.45181274414062,245.45181274414062,242.3448287927158,242.66170242288203,113625300
2018-03-12,245.1437530517578,246.36719632748682,244.7564779760254,245.74228617095227,71924800
2018-03-13,243.55955505371094,246.8073699887044,242.95223831883985,246.30566888415234,91968900
2018-03-14,242.30963134765625,244.70368337191348,241.75514946256,244.5188560768814,105895100
2018-03-15,242.0456085205078,243.4626626446098,241.54390753995625,242.82015876545825,83433000
2018-03-16,242.30807495117188,243.3596693637448,242.25505565037898,242.5731714551364,100343700
2018-03-19,239.0296173095703,242.4848530401909,237.3771191271245,241.55698809363383,109208400
2018-03-20,239.4360809326172,240.07233951458812,238.75562162094462,239.42723539305518,59757300
2018-03-21,238.97653198242188,241.4862109901256,238.76445478878995,239.3918677986891,78709600
2018-03-22,233.00282287597656,237.5979999945079,232.72885384939002,236.74966416722836,148785900
2018-03-23,228.03643798828125,233.771610570164,227.84202490130033,233.44464923481146,183534800
2018-03-26,234.27528381347656,234.55807137654898,229.23826181576712,231.64190216567016,141956100
2018-03-27,230.2899169921875,235.74227623602687,228.73461195251602,235.21208312533292,129941400
2018-03-28,229.60943603515625,232.0926327220534,228.50482221120828,230.4224436755508,146452300
2018-03-29,232.54327392578125,234.40787590041907,229.61825896543695,230.74938233105553,111601600
2018-04-02,227.52392578125,232.52562014188928,225.0495882525477,232.0130642531419,186286300
2018-04-03,230.44004821777344,230.91724881743016,226.96714972539726,228.76104103303032,119956900
2018-04-04,232.90560913085938,233.6125511780007,226.7551270227763,226.8876752856015,123715300
2018-04-05,234.74368286132812,235.62737383375938,233.5772043053729,234.664126941874,82652600
2018-04-06,229.51220703125,234.2752870709953,227.99225756873417,232.78187422548618,179521200
2018-04-09,230.6433563232422,234.03672660538797,229.70664599907167,230.970317685891,105442900
2018-04-10,234.31069946289062,235.09719751911547,232.3931047987183,233.5330469478276,103529000
2018-04-11,233.08230590820312,234.74364901170844,232.75534461044813,232.82602801208256,91140200
2018-04-12,234.99990844726562,235.9454641579969,234.23110169917575,234.40785066181715,68890500
2018-04-13,234.31069946289062,236.42273422394206,233.30330559064134,236.3078500612923,85079200
2018-04-16,236.237060546875,237.0058942313891,235.1236284260523,235.94545443544874,63405300
2018-04-17,238.76446533203125,239.36536871926083,237.4919481778344,238.00447707444593,64682000
2018-04-18,238.941162109375,239.74529698441955,238.481625645804,239.20625855520262,57303900
2018-04-19,237.61569213867188,238.49053762171857,236.58176177570866,238.28727897789233,77655900
2018-04-20,235.60081481933594,237.765868283229,234.71712393090704,237.54494556112178,99953100
2018-04-23,235.5655059814453,236.73198452248616,234.4874019301393,236.1752549020754,65558000
2018-04-24,232.39306640625,236.81152135905498,230.89078093505276,236.59059861141472,112885500
2018-04-25,232.96749877929688,233.4093443478293,230.5108384969812,232.33124008188568,103840900
2018-04-26,235.33575439453125,236.16642611436546,233.55070823494597,233.9925537468531,67731900
2018-04-27,235.5567169189453,236.24599495516517,234.62000643300846,235.94554319251696,57053600
2018-04-30,233.7450714111328,236.73195074852742,233.67436104218984,236.17522120754387,82182300
2018-05-01,234.1604461669922,234.2664847699566,231.62423039491986,233.17953515335418,74203400
2018-05-02,232.58749389648438,234.7790304291084,232.1986676791265,233.96604976962223,86368900
2018-05-03,232.074951171875,232.72887395271127,228.92016748877577,231.7568353222072,136311500
2018-05-04,235.07948303222656,235.7599423992167,230.7759119405855,231.10287331365893,91222100
2018-05-07,235.87481689453125,236.84685543367848,235.15900236383027,235.84830724288375,55304900
2018-05-08,235.87481689453125,236.23710647767695,234.31066654300142,235.50365480335702,67499200
2018-05-09,238.15467834472656,238.48163963646277,236.02498021129696,236.54635456407956,59666100
2018-05-10,240.381591796875,240.7085800870118,238.79095894501123,238.89699753938797,72063900
2018-05-11,241.11505126953125,241.38014773448955,239.99274664229782,240.5053024320229,59871500
2018-05-14,241.22998046875,242.20201900063026,240.6820693919491,241.54809628614152,54790600
2018-05-15,239.5686798095703,240.01934396462096,238.62312379231304,240.0016798498727,87036100
2018-05-16,240.5760040283203,241.03554055980896,239.577428987947,239.6039656045541,53942600
2018-05-17,240.372802734375,241.45090685639775,239.59515032267205,240.31093789069186,56536400
2018-05-18,239.77178955078125,240.3903838377882,239.4183186588203,240.02806740889562,64368000
2018-05-21,241.57461547851562,242.1136810367539,240.8676734332078,241.25649964856024,58025900
2018-05-22,240.90293884277344,242.35220471630439,240.5759775578704,242.0959268302574,52966400
2018-05-23,241.56578063964844,241.59231726143065,239.47143709533174,239.63052198546725,64694200
2018-05-24,241.07086181640625,241.44202385280352,239.2858159433283,241.16808183683872,76043800
2018-05-25,240.49649047851562,241.12390351193636,239.9927801566488,240.49649047851562,56374800
2018-05-29,237.73057556152344,239.6305330453535,236.61714308785497,238.87054465819892,115908600
2018-05-30,240.90293884277344,241.344784247908,238.96768077893915,239.03836417779522,69678400
2018-05-31,239.42724609375,240.7969563816566,238.82634267506256,240.49650467231288,93519900
2018-06-01,241.77786254882812,242.0783142521023,240.65555772130298,240.726268103314,71258400
2018-06-04,242.92657470703125,243.1828525681365,242.36102666691355,242.59961345394902,45385200
2018-06-05,243.10342407226562,243.48340476833687,242.29041640409955,243.0592233369313,51135000
2018-06-06,245.13587951660156,245.24191812235736,243.09455545147418,243.71314994252884,62732200
2018-06-07,245.10935974121094,245.9135217591233,244.19915912192252,245.62191560533927,72969400
2018-06-08,245.83399963378906,245.8870189359492,244.48195349248826,244.64985693869826,72139700
2018-06-11,246.1609344482422,246.8767219183447,245.94001172368942,246.05489585535383,58892500
2018-06-12,246.4790496826172,246.84133917851108,245.83394569041246,246.57624272588066,72329000
2018-06-13,245.692626953125,246.97398979103377,245.48936829863752,246.71771182982977,79070600
2018-06-14,246.31112670898438,246.8413195721325,245.7190420543345,246.55855903448713,77097600
2018-06-15,245.9969940185547,246.3343088427787,244.4169617544594,245.52653573456027,120041600
2018-06-18,245.49099731445312,245.61528259065716,244.06187917334162,244.54119558074223,52917600
2018-06-19,244.55006408691406,244.77197884561363,242.80137470479337,243.2185755347167,97531500
2018-06-20,244.96726989746094,245.6330141870954,244.62995512310675,245.2335567776329,53785500
2018-06-21,243.43161010742188,244.97615528081644,242.93452320471235,244.95838476265965,71061400
2018-06-22,243.8754425048828,244.80750077533844,243.65352773894645,244.69210076277875,54898500
2018-06-25,240.5556182861328,242.88128081499514,238.86907139864692,242.72150867695257,137854200
2018-06-26,241.0882110595703,241.94035618967405,240.36920937335694,241.12372500767617,68547400
2018-06-27,239.0909881591797,243.10319760881347,238.9400741903056,241.67407943578866,105110700
